filename,creator,source_url,license,license_url,modifications,title,retrieval_date,sha256,training_status
3665434251_8c23bfe37e_o.jpg,King....,https://www.flickr.com/photos/kinglomo/3665434251/,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,none to source file; training preprocessing may resize and/or crop,Kilkenny in The Wrong Glass,2026-09-18,a808f3c54408114ee2255081eeb58fae615f8c6af931ea478369b7b0e19f5509,approved-attribution-required
StockSnap_PROXEBKRSP.jpg,Suzy Hazelwood,https://stocksnap.io/photo/strawberry-food-PROXEBKRSP,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,none to source file; training preprocessing may resize and/or crop,Strawberry Food,2026-09-18,2962a5bd9d3fbbd4b71ccc96ff42b293157a091b3b80b3a6e5f55fa211fd19c4,approved-no-attribution-required
StockSnap_NKJCDSIIRB.jpg,Suzy Hazelwood,https://stocksnap.io/photo/fruit-oranges-NKJCDSIIRB,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,none to source file; training preprocessing may resize and/or crop,Fruit Oranges,2026-09-18,63fc92170808f548b21086bf3a67624f59913438b3b4eb59d82b54eb53003c90,approved-no-attribution-required
StockSnap_SCRJFFD2TZ.jpg,Flat Lay Photos,https://stocksnap.io/photo/flatlay-honey-SCRJFFD2TZ,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,none to source file; training preprocessing may resize and/or crop,Flat Lay Honey,2026-09-18,96f3538b9cd98ada158ca4b25a69205bc68719469cf39f137f5106a42d421142,approved-no-attribution-required
PXL_20250718_052316657.MP.jpg,Chadwick Casper,,Owner-provided; all rights reserved,,none to source file; training preprocessing may resize and/or crop,PXL_20250718_052316657,2026-09-18,4815b85ffe397e67d9b7d8e10ca68a16757c71efa451f64415f4f82d07d54458,approved-owner-authorized
PXL_20250816_201312842.MP.jpg,Chadwick Casper,,Owner-provided; all rights reserved,,none to source file; training preprocessing may resize and/or crop,PXL_20250816_201312842,2026-09-18,dd8917e9ffcebf74b8f8ebb01280852f9ab7505fdac6c33b0943b38c0effd3ac,approved-owner-authorized
PXL_20250816_203428719.MP.jpg,Chadwick Casper,,Owner-provided; all rights reserved,,none to source file; training preprocessing may resize and/or crop,PXL_20250816_203428719,2026-09-18,d1558c4bd563bb6cc58c5fdee9679c481984c8b0aa93977a7bcef4f75f59f692,approved-owner-authorized
PXL_20251004_023253430.MP.jpg,Chadwick Casper,,Owner-provided; all rights reserved,,none to source file; training preprocessing may resize and/or crop,PXL_20251004_023253430,2026-09-18,afe8a4dff222ab1abb2d6d051d46783a006b5ea7aa26584e88874ccedcaec454,approved-owner-authorized
PXL_20260705_153618396.MP.jpg,Chadwick Casper,,Owner-provided; all rights reserved,,none to source file; training preprocessing may resize and/or crop,PXL_20260705_153618396,2026-09-18,da55346e11a848f153b819120fb4980b846f45950d8839d696919a9c6fd1bb52,approved-owner-authorized
10141317556_3406a6beaf_o.jpg,GoToVan,https://www.flickr.com/photos/gotovan/10141317556/,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,none to source file; training preprocessing may resize and/or crop,Latte Art World Championship @ Coffee Fest Seattle 2013,2026-09-18,8bd61de543a0e33141bfaf9a88d0d41fac4afff89362a3a8685b5a9882815fab,approved-attribution-required
